# When slicing the array the Z value refers to one beyond the last slice,,,,
# i.e. access the last image to keep with array[z-1]; when slicing a volume from the array,,,,
# use array[z-d:z],,,,
# NB: for training set 3 (where we don't crop around the centre), I've accidentally defined,,,
# The x and y axes backwards, or something. Whoops,,,
n,z,x,y,crop_around_centre,age
30,1435,161,390,True,12.0
31,1350,409,243,True,12.0
39,1414,222,311,True,7.0
50,1262,333,243,True,4.0
51,1636,301,403,True,4.0
54,1485,426,159,True,4.0
58,1436,269,172,True,30.0
69,1512,352,193,True,12.0
340,1497,388,358,True,18.0
341,1400,246,271,True,18.0
343,1767,277,261,True,18.0
57,1600,326,189,True,30.0
59,1549,141,403,True,30.0
60,1716,289,280,True,30.0
82,1719,163,334,True,36.0
83,1603,162,184,True,36.0
84,1734,406,235,True,36.0
85,1589,315,250,True,36.0
86,1524,239,211,True,36.0
107,1778,305,360,True,18.0
116,1760,351,190,True,8.0
117,1750,346,280,True,8.0
118,1782,334,261,True,8.0
131,1549,292,360,True,30.0
133,1533,284,417,True,30.0
135,1482,268,350,True,30.0
139,1443,186,289,True,24.0
167,1277,295,219,True,4.0
168,1566,494,419,True,4.0
169,1619,324,390,True,4.0
193,1443,330,399,True,12.0
216,1638,315,325,True,18.0
220,1390,175,235,True,24.0
230,1389,260,347,True,28.0
246,1636,184,307,True,14.0
247,1714,432,285,True,14.0
248,1725,370,327,True,14.0
249,1618,302,261,True,14.0
250,1679,327,323,True,14.0
291,1482,248,279,True,12.0
351,1667,326,276,True,3.0
401,1375,330,449,True,12.0
420,1290,204,370,True,12.0
441,1836,339,458,True,10.0
93,1621,174,198,False,36.0
68,1558,372,335,False,12.0
53,1503,233,283,False,4.0
186,1651,435,423,False,18.0
2,1712,325,302,False,24.0
52,1693,429,209,False,4.0
26,1566,465,169,False,18.0
4,1638,481,489,False,24.0
25,1531,430,462,False,18.0
185,1714,323,268,False,18.0
91,1464,411,311,False,36.0
38,1606,487,318,False,7.0
3,1679,370,449,False,24.0
37,1722,423,425,False,7.0
1,1649,425,386,False,24.0
